ticker,name,exchange,commodity,current_price,day_change_percent,market_cap,currency,last_updated
ISO,IsoEnergy Ltd.,TSX,Uranium,14.8100004196167,-5.19,813411193.2866516,CAD,2026-01-15T06:45:21.249228
URC,Uranium Royalty Corp.,TSX,Uranium,5.860000133514404,1.74,810746899.0720797,CAD,2026-01-15T06:45:21.774353
HSLV,Highlander Silver Corp.,TSX,Gold,6.170000076293945,-1.28,807718954.9476929,CAD,2026-01-15T06:45:22.397578
RML,Rusoro Mining Ltd.,TSXV,Diversified,1.2599999904632568,7.69,789704267.0028517,CAD,2026-01-15T06:45:23.077470
FMT,Fuerte Metals Corporation,TSXV,Gold,6.5,4.42,787031121.5,CAD,2026-01-15T06:45:23.693363
EU,enCore Energy Corp.,TSXV,Uranium,4.199999809265137,4.48,786586149.2787123,CAD,2026-01-15T06:45:24.335295
MKO,Mako Mining Corp.,TSXV,Gold,8.979999542236328,0.11,781340834.0504379,CAD,2026-01-15T06:45:24.943060
FDY,Faraday Copper Corp.,TSX,Copper,2.990000009536743,0.67,756111429.6516523,CAD,2026-01-15T06:45:25.658637
PRB,Probe Gold Inc.,TSX,Gold,3.640000104904175,0.28,742556035.6003368,CAD,2026-01-15T06:45:26.357624
FF,First Mining Gold Corp.,TSX,Gold,0.550000011920929,-1.79,724893525.1616437,CAD,2026-01-15T06:45:27.002008
JAG,Jaguar Mining Inc.,TSX,Gold,8.420000076293945,2.81,717898679.0049076,CAD,2026-01-15T06:45:27.755933
FWZ,Fireweed Metals Corp.,TSXV,Tungsten,3.380000114440918,5.63,707563792.2968779,CAD,2026-01-15T06:45:28.466946
HSTR,Heliostar Metals Ltd.,TSXV,Gold,2.7300000190734863,0.74,700466012.0438933,CAD,2026-01-15T06:45:29.176522
ALDE,Aldebaran Resources Inc.,TSXV,Gold,4.050000190734863,-3.11,688152222.4585466,CAD,2026-01-15T06:45:29.863523
NOU,Nouveau Monde Graphite Inc.,TSX,Diversified,4.28000020980835,0.71,688059424.9291134,CAD,2026-01-15T06:45:30.577526
ARA,Aclara Resources Inc.,TSX,Rare Earths,3.109999895095825,-2.2,684154017.3426318,CAD,2026-01-15T06:45:31.111106
AMX,Amex Exploration Inc.,TSXV,Gold,4.800000190734863,1.48,679310119.7933578,CAD,2026-01-15T06:45:31.910665
SAU,St. Augustine Gold and Copper Limited,TSX,Gold,0.4300000071525574,2.38,671982137.0776528,CAD,2026-01-15T06:45:32.571544
ITH,International Tower Hill Mines Ltd.,TSX,Gold,3.0899999141693115,-1.59,642366093.7270467,CAD,2026-01-15T06:45:33.189105
DV,Dolly Varden Silver Corporation,TSXV,Gold,6.960000038146973,7.24,639392799.2644396,CAD,2026-01-15T06:45:33.981920
IFOS,Itafos Inc.,TSXV,Rare Earths,3.25,6.21,628012823.75,CAD,2026-01-15T06:45:34.681737
MNO,Meridian Mining UK Societas,TSX,Gold,1.4600000381469727,2.1,612409218.6810665,CAD,2026-01-15T06:45:35.316219
ECOR,Ecora Resources plc,TSX,Copper,2.430000066757202,0.0,605203056.6961982,CAD,2026-01-15T06:45:36.092592
OM,Osisko Metals Incorporated,TSX,Copper,0.949999988079071,6.74,582904512.4355123,CAD,2026-01-15T06:45:36.758125
ERD,Erdene Resource Development Corporation,TSX,Gold,9.350000381469727,0.21,576248620.6103096,CAD,2026-01-15T06:45:37.476519
ETG,Entree Resources Ltd.,TSX,Gold,2.759999990463257,0.73,573806581.3773022,CAD,2026-01-15T06:45:38.136236
LIRC,Lithium Royalty Corp.,TSX,Lithium,10.350000381469727,0.49,568556053.4552574,CAD,2026-01-15T06:45:38.794713
